date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2044-01-01,13.0952,0.18699,0.9729,0.88588,4.0544,2.26868,0.02628,5.35204,2.14946,0.03246,0.09874,14.08265,0.11117,9.477,0.20862,0.99159,0.3926,0.24855,4.853,0.5882,36.29076,0.52616,0.59915,0.19262,6.57634,0.87987,4.90854,0.0116,0.30671,1.80867,22.11356,21.7848,0.02179,0.00684,0.00548,11.22016
2044-01-02,20.47987,0.32854,2.18447,6.00384,10.15387,6.69945,0.55471,15.90703,4.39881,0.03668,0.15312,24.23757,0.25252,27.25071,0.28509,4.91973,0.71396,0.57453,6.55021,3.71353,119.59327,0.94789,1.47394,0.46847,9.12394,1.15695,32.17493,0.05354,2.28528,36.03336,42.88089,74.32774,0.07476,0.0104,0.04836,31.250610000000002
2044-01-03,8.91677,0.26266,0.75364,5.90888,14.5748,4.22556,0.76042,17.30338,7.11143,0.03822,0.37398,13.84328,0.11417,17.75133,0.23951,141.08212,0.53936,0.20823,4.99148,15.19267,151.80203,0.70049,1.67095,0.42152,6.8299,1.21389,33.96009,1.12721,1.71475,78.44968,48.27462,47.22685,0.05057,0.03061,0.04274,22.00068
2044-01-04,7.16288,0.13357,0.13674,1.62077,10.3954,0.16379,0.5918,15.94847,1.41383,0.03213,0.05369,8.38885,0.00488,13.92414,0.14997,138.02248,0.2819,0.24003,1.90051,16.93468,201.62079,0.35994,0.59665,0.20814,2.80464,0.33212,20.39441,0.16232,2.85632,25.14718,11.86714,168.73791,0.06917,0.00775,0.01553,15.55234
2044-01-05,7.07321,0.19824,0.18584,2.98894,7.31033,0.58112,0.02989,5.383,1.35181,0.03315,0.02227,7.87612,0.04377,8.3934,0.13455,35.51838,0.4035,0.22913,1.34708,1.02289,58.06579,0.5034,0.51447,0.05393,2.11368,0.33228,25.34999,0.0012,0.95482,0.95457,8.86607,66.4246,0.02069,0.00252,0.00113,10.68584
2044-01-06,6.98609,0.11222,0.13914,0.3334,5.62334,0.19164,0.03356,5.3448,1.34986,0.03387,0.02236,7.7778,0.00585,5.8918,0.16016,17.55211,0.23086,0.56032,1.39526,0.58615,20.2391,0.29698,0.35694,0.05666,2.1574,0.33564,3.48953,0.00106,1.09147,0.95562,12.74476,67.25074,0.0193,0.00252,0.0014,7.26627
2044-01-07,7.02378,0.10998,0.14072,0.18101,5.64291,0.1254,0.03597,5.29224,1.35197,0.03437,0.02245,7.80551,0.00545,5.03298,0.18167,14.02965,0.23133,0.81872,1.43878,0.58672,19.87997,0.29862,0.36571,0.05998,2.20833,0.33894,2.61287,0.00106,1.29746,0.95675,12.8937,71.99543,0.01992,0.00252,0.00157,6.30761
2044-01-08,7.3053,0.12031,0.49614,0.70925,7.8906,1.04208,0.03756,7.31026,1.35266,0.03472,0.02253,8.07709,0.05804,19.68318,0.19618,11.22024,0.25738,6.30773,1.477,0.58714,29.20664,0.32587,0.49877,0.06294,2.2528,0.3466,8.12708,0.00106,1.37463,0.95771,49.04055,73.264,0.02052,0.00252,0.00167,21.56281
2044-01-09,7.08688,0.54824,5.43382,4.68706,18.25721,10.91337,0.03855,14.04085,1.35197,0.03492,0.03921,7.84792,0.53416,45.12347,0.3405,9.05496,0.80128,4.06473,4.30393,0.58732,92.50347,1.14536,2.52537,0.16127,6.47243,1.40305,20.29115,0.00106,1.37094,0.95853,206.128,88.99518,0.0209,0.00252,0.00172,48.80723
2044-01-10,6.8765,0.13434,3.40498,0.27017,12.51932,5.63411,0.03911,12.13576,1.35021,0.03503,0.03566,7.62664,0.18811,25.22598,0.4672,7.4204,0.26508,0.37599,6.36244,0.58734,48.12985,0.38188,2.0977,0.188,9.50132,1.31978,1.42278,0.00106,1.32463,0.95922,103.65132,74.07051,0.02124,0.00251,0.00174,27.14024
2044-01-11,6.9806,0.12694,0.90028,0,12.19234,0.72242,0.03937,8.41206,1.34753,0.03507,0.02279,7.71883,0.03571,13.36249,0.28391,6.22836,0.28066,0.25591,1.66665,0.58723,23.49024,0.36814,1.31379,0.07333,2.54778,0.38678,1.06646,0.00106,1.2599,0.95982,19.23508,72.12134,0.0215,0.00251,0.00173,15.4129
2044-01-12,7.42818,0.13472,0.5413,0,12.33848,0.40756,0.03947,6.76782,1.34426,0.03508,0.02288,8.15638,0.02649,13.61755,0.33731,5.35052,0.29549,0.28543,1.76418,0.58698,24.23614,0.39191,1.4594800000000001,0.07542,2.64588,0.39002,1.08378,0.00106,1.18911,0.96033,11.49424,69.22099,0.0217,0.00251,0.00172,15.94163
2044-01-13,7.16044,0.14076,0.7686,0,11.99048,0.69171,0.03947,5.69886,1.34049,0.03503,0.02296,7.87957,0.03755,14.77053,0.36553,4.7033,0.30632,0.32851,2.14228,0.58664,26.62371,0.40925,1.58157,0.08238,3.35826,0.45403,1.09277,0.01908,1.12125,0.9609,40.97368,66.33489,0.02185,0.00251,0.00171,17.19657
2044-01-14,6.87569,0.14572,0.74253,0.00579,11.15601,1.29962,0.03935,4.84242,1.3369,0.03492,0.02305,7.58518,0.03705,14.67999,0.50395,4.0288,0.31473,0.32629,4.55156,0.5862,34.00421,0.42358,1.55167,0.13463,6.31015,0.97176,1.10413,0.00106,1.05337,0.96116,118.15822,61.27694,0.02193,0.00252,0.00169,17.05931
2044-01-15,6.8068,0.15405,0.53704,0.04173,10.58844,0.41988,0.03915,4.41799,1.33097,0.03479,0.02313,7.50668,0.03077,13.2528,0.47847,3.46535,0.32861,0.3298,2.87187,0.5863,27.96237,0.44468,1.42135,0.13295,3.94812,0.4874,1.25735,0.00106,0.9904,0.96148,36.38757,56.74184,0.02213,0.00251,0.00166,15.61071
2044-01-16,6.78117,0.15103,0.54989,0.01238,9.78713,0.13696,0.04217,4.02146,1.32564,0.03463,0.02321,7.47189,0.02918,12.34501,0.44644,3.13408,0.32269,0.3314,2.24635,0.58545,26.0027,0.4361,1.3311,0.11594,3.30184,0.47067,1.13712,0.00106,0.93443,0.96744,14.26759,52.96875,0.02202,0.00251,0.00169,14.61007
2044-01-17,6.81336,0.15244,0.55242,0.01371,9.12996,0.7547,0.03844,3.66488,1.32002,0.03447,0.02329,7.4955,0.02773,11.85036,0.53759,2.7062,0.32365,0.3388,5.12849,0.5844,35.91422,0.43701,1.23374,0.2101,6.22334,2.23784,1.10819,0.00106,0.87949,0.96197,60.503660000000004,49.52463,0.02191,0.0025,0.00161,14.00611
2044-01-18,7.22329,0.15088,0.52353,0.00278,8.5397,0.03392,0.03803,3.41555,1.31634,0.03426,0.0236,7.89717,0.02646,10.93475,0.50736,2.38656,0.32001,0.3309,4.93137,0.58368,30.05328,0.43338,1.13247,0.23463,6.0263,1.14196,1.05467,0.00107,0.8309,0.96224,39.46823,46.47089,0.02184,0.00251,0.00158,12.96852
2044-01-19,7.60784,0.15051,0.50465,0,8.00904,0.02228,0.03759,3.15837,1.30803,0.03404,0.02344,8.27317,0.0251,10.25992,0.507,2.14704,0.31801,0.32857,2.78832,0.58289,25.65231,0.43097,1.0404,0.17489,3.89923,0.62316,1.02096,0.00106,0.78684,0.96231,14.57532,43.65791,0.02174,0.0025,0.00155,12.19317
2044-01-20,7.15356,0.14947,0.48456,0,7.53218,0.02286,0.03711,2.96578,1.30178,0.0338,0.02577,7.81074,0.02374,9.61911,0.49386,1.91577,0.31451,0.32509,3.18689,0.58207,25.83391,0.42649,0.9547,0.2027,4.31014,0.68064,1.00032,0.00106,0.74669,0.96243,17.8788,41.16432,0.02162,0.0025,0.00152,11.44602
2044-01-21,6.86211,0.14804,0.46472,0,7.10554,0.02332,0.0366,2.84847,1.29542,0.03355,0.02749,7.51171,0.02244,9.04066,0.46632,1.70457,0.31018,0.32098,3.13324,0.58119,25.52796,0.42081,0.87703,0.14611,4.26846,0.71714,0.97856,0.00106,0.70987,0.96251,13.23214,38.89856,0.02147,0.0025,0.00149,10.78115
2044-01-22,6.63644,0.14672,0.44638,0,6.7301,0.0237,0.03609,2.78094,1.28913,0.03331,0.02365,7.27979,0.02124,8.54713,0.43415,1.55856,0.30625,0.3168,2.97105,0.58029,25.05813,0.41554,0.80966,0.11544,4.10548,0.74002,0.95991,0.00106,0.67728,0.96258,10.70686,36.87872,0.02131,0.0025,0.00146,10.23231
2044-01-23,6.83527,0.14536,0.42963,0,6.39699,0.024,0.0356,2.72869,1.28292,0.0331,0.02374,7.47383,0.02014,8.11069,0.40232,1.43484,0.30233,0.31296,3.08218,0.57935,24.84007,0.4102,0.75264,0.12025,4.21695,0.75414,0.94206,0.00106,0.64616,0.96262,11.09009,34.99526,0.02114,0.0025,0.00143,9.74549
2044-01-24,10.8651,0.14484,0.41332,0.00377,6.13575,0.03306,0.03588,2.70871,1.28456,0.0329,0.02943,11.49971,0.01931,7.73364,0.37231,1.38172,0.29921,0.30967,3.12949,0.57852,24.71607,0.40585,0.70523,0.124,4.26295,0.76103,0.95057,0.00106,0.62165,0.97419,10.93308,33.43108,0.02098,0.00251,0.00148,9.32491
2044-01-25,12.10676,0.14243,0.42836,0,6.06119,0.22895,0.03461,3.77713,1.75457,0.03343,0.12667,12.73698,0.02349,8.58193,0.34455,1.16923,0.29291,0.36234,3.18765,0.57738,24.51206,0.39734,0.68323,0.12547,4.31485,0.75864,0.9028,0.00106,0.59265,1.015,12.72242,31.73566,0.02075,0.00277,0.00357,10.08775
2044-01-26,7.07598,0.13991,0.38334,0,5.61613,0.02646,0.03409,2.5338,1.28057,0.0325,0.18349,7.73094,0.01793,7.00877,0.31935,1.04585,0.28734,0.30316,3.17627,0.57636,23.84345,0.38969,0.61952,0.12657,4.29632,0.75305,0.88126,0.00106,0.56873,1.18998,11.97054,30.26766,0.02054,0.00358,0.00251,8.44661
2044-01-27,6.60504,0.13811,0.37069,0,5.35696,0.02517,0.03358,2.47946,1.25871,0.03231,0.10484,7.23083,0.01666,6.64904,0.29679,0.96149,0.2826,0.29573,3.17224,0.57531,23.47632,0.38311,0.58002,0.12692,4.28341,0.74671,0.86336,0.00106,0.54679,0.96261,10.86455,28.93195,0.02032,0.00249,0.00135,8.04858
2044-01-28,6.58193,0.13645,0.36003,0,5.15664,0.02567,0.03308,2.44563,1.25305,0.03211,0.02559,7.19969,0.01598,6.38712,0.27679,0.89482,0.27827,0.29166,3.16216,0.57425,23.11573,0.37705,0.5488,0.12668,4.26312,0.73939,0.84735,0.00106,0.52659,0.96257,10.47378,27.70457,0.0201,0.00249,0.00134,7.75692
2044-01-29,6.82433,0.13929,0.88525,0.30379,5.64588,1.43708,0.05875,3.09402,1.81835,0.03194,0.02458,7.71105,0.07173,11.3399,0.26302,1.14864,0.29151,0.87999,3.32437,0.57811,27.96069,0.38989,0.75593,0.12615,4.46645,0.78026,2.41329,0.08882,0.51395,3.72081,23.57433,26.82927,0.02063,0.01065,0.00267,13.06107
2044-01-30,8.30113,0.33662,3.1962,6.8964,17.18542,7.89497,1.239,12.64813,4.10181,0.03387,0.0404,9.07111,0.28951,30.80151,0.3634,87.71988,0.69191,2.39036,6.39936,12.71984,208.76006,0.92533,1.91734,0.39411,8.57627,1.5693,36.60271,0.11326,1.55714,14.76831,139.17843,89.45317,0.0541,0.01861,0.04581,35.72145
2044-01-31,7.72429,0.33644,4.75923,4.18449,15.54882,9.1752,0.05853,6.98754,1.31811,0.03256,0.06235,8.34148,0.385,52.11739,0.35455,6.16448,0.59154,3.77901,7.36048,6.27088,98.74881,0.77512,2.83359,0.23715,9.78777,2.29268,30.58056,0.00107,0.63853,0.96719,145.69556,36.62688,0.04203,0.00249,0.00163,57.78713
2044-02-01,7.06018,0.27956,2.06333,4.27318,10.11339,3.89906,0.07873,7.21137,1.23707,0.03158,0.028,7.65783,0.123,27.53894,0.38603,5.4175,0.55885,0.73554,6.2748,5.6896,87.65734,0.75372,1.88858,0.22252,8.67877,1.2508,29.24568,0.00107,0.82363,0.9627,51.5782,47.95024,0.0451,0.00248,0.00191,31.63026
2044-02-02,6.94025,0.33807,0.8359,2.96641,10.72627,0.5094,0.03998,6.42654,1.23167,0.0315,0.12573,7.53125,0.03168,24.55042,0.39193,4.6819,0.62752,0.45554,5.19943,0.81031,55.16309,0.87608,1.90046,0.17921,6.9704,0.96187,15.01026,0.00107,0.54655,0.96278,16.82508,36.57435,0.02445,0.00248,0.00208,28.87098
2044-02-03,7.17132,0.15039,0.95657,0.07018,10.88876,0.0327,0.04107,5.28262,1.22795,0.03143,0.13154,7.75591,0.02895,23.38596,0.34348,4.02577,0.31864,0.50937,3.53068,0.57199,25.65127,0.4272,1.89985,0.14318,4.66269,0.91566,1.35919,0.00106,0.51846,0.96268,13.3243,33.73037,0.01984,0.00248,0.00218,27.54739
2044-02-04,7.27082,0.15835,0.98717,0,10.66115,0.03592,0.04188,4.44076,1.22416,0.03132,0.22939,7.84899,0.02994,21.64069,0.38542,3.41015,0.34157,0.52508,3.67684,0.57198,26.37775,0.45868,1.85245,0.14311,4.83871,0.9467,1.11166,0.00106,0.52295,0.9627,13.24349,35.27624,0.02002,0.00248,0.00222,25.56462
2044-02-05,6.95532,0.16349,0.95683,0,10.26658,0.03984,0.04226,3.84657,1.22014,0.03119,0.48495,7.5296,0.02961,19.89598,0.39867,2.86788,0.35564,0.52529,3.7874,0.57185,27.07297,0.47802,1.74413,0.14525,4.97246,0.9598,1.13802,0.00106,0.52533,0.96269,13.01072,35.76623,0.02015,0.00248,0.00223,23.49405
2044-02-06,7.01304,0.16632,0.91062,0,9.79802,0.04187,0.04232,3.399,1.21594,0.03103,0.52669,7.57998,0.02863,18.22985,0.39355,2.43706,0.36344,0.51668,3.85186,0.57159,27.43588,0.48875999999999997,1.60802,0.14615,5.05278,0.95988,1.14849,0.00106,0.52373,0.96267,12.71209,35.44809,0.02023,0.00247,0.00221,21.52213
2044-02-07,6.59598,0.16764,0.86235,0,9.28929,0.04228,0.04218,3.03093,1.21161,0.03083,0.109,7.15784,0.02737,16.60905,0.37882,2.1049,0.36717,0.5032,3.88074,0.57123,27.56181,0.49395,1.47133,0.14611,5.09138,0.95286,1.14937,0.00106,0.51908,0.96262,12.4726,34.69131,0.02027,0.00247,0.00218,19.62725
2044-02-08,6.54426,0.16771,0.81588,0,8.76512,0.04199,0.0419,2.79205,1.20716,0.03061,0.04232,7.10028,0.02604,15.15897,0.35972,1.82778,0.36756,0.48637,3.88216,0.57077,27.50558,0.49461,1.34225,0.14532,5.09735,0.94036,1.14156,0.00107,0.51214,0.96267,12.20704,33.68672,0.02028,0.00248,0.00214,17.93165
2044-02-09,6.82795,0.1852,0.77683,0.18204,8.32437,0.04855,0.07427,2.65693,1.25341,0.03036,0.02946,7.42631,0.0248,13.94371,0.33963,1.70977,0.38888,0.46982,4.02821,0.57336,29.42182,0.52537,1.22709,0.14423,5.33001,0.96392,2.12803,0.01058,0.50394,2.94134,12.11816,32.62273,0.02034,0.00706,0.00287,16.57957
2044-02-10,6.75685,0.21492,0.97742,0.72114,7.98885,0.21816,0.04968,2.58237,1.27523,0.0301,0.0724,7.38365,0.03643,13.21758,0.34177,1.509,0.42628,0.45477,4.69614,0.58698,37.261,0.57425,1.12354,0.1554,6.29489,1.16871,4.70244,0.05341,0.51676,1.23624,23.40226,36.97408,0.02928,0.00403,0.00339,15.87712
2044-02-11,7.49102,0.16456,0.724,0.03638,7.4476,0.05503,0.04075,2.47687,1.20645,0.02984,0.03211,8.04469,0.02332,12.086,0.29891,1.35535,0.35883,0.44143,3.85302,0.56923,27.82307,0.4839,1.03611,0.14224,5.12939,0.89051,1.17325,0.00109,0.49266,0.96379,16.70578,33.82147,0.0203,0.00249,0.00228,14.37247
2044-02-12,7.24843,0.16598,0.73878,0.13077,7.0828,0.39083,0.60422,2.90515,2.01816,0.02962,0.08197,7.8157,0.025,11.44926,0.33804,49.4866,0.38993,0.42735,5.01672,0.70922,96.385,0.53145,0.96266,0.1826,7.02888,1.40965,1.67907,0.28009,1.59905,18.55388,21.44378,75.27188,0.02217,0.00984,0.05015,13.59371
2044-02-13,6.51965,0.16106,0.67203,0,6.71149,0.03912,0.04206,2.336,1.18463,0.02938,0.03452,7.05132,0.02041,10.55236,0.26769,1.84174,0.34831,0.41268,3.72308,0.56763,26.17554,0.46868,0.88861,0.13554,4.92014,0.86705,1.05553,0.00106,0.50251,0.96225,11.32831,31.11397,0.01993,0.00246,0.00243,12.57071
2044-02-14,6.8192,0.15928,0.65232,0,6.41216,0.0386,0.04394,2.29432,1.1803,0.02916,0.03455,7.34672,0.01956,9.97815,0.257,2.28275,0.34321,0.4014,3.63628,0.567,25.76085,0.46159,0.83009,0.13301,4.8311,0.86064,1.03532,0.00106,0.49467,0.96232,11.21158,30.90022,0.01982,0.00246,0.00286,11.92
2044-02-15,6.78594,0.15707,0.63223,0,6.13758,0.03812,0.04504,2.2281,1.17599,0.02895,0.03556,7.30976,0.01877,9.38367,0.24664,2.26944,0.33714,0.39107,3.5861,0.56634,25.42211,0.45325,0.77911,0.13046,4.7768,0.85108,1.0134,0.00106,0.50472,0.9624,11.06579,31.36727,0.01969,0.00246,0.00311,11.20259
2044-02-16,8.04242,0.15404,0.61217,0,5.8771,0.03963,0.04558,2.14693,1.17163,0.02872,0.03652,8.60442,0.01824,8.92643,0.23599,2.07501,0.32907,0.38367,3.52991,0.56565,25.0247,0.44234,0.72806,0.12778,4.71396,0.83637,0.98651,0.00106,0.51034,0.96243,11.01228,31.34361,0.01956,0.00246,0.00324,10.58803
2044-02-17,7.59155,1.16732,1.62514,17.30808,16.4609,5.74332,1.06066,14.38687,2.02657,0.02955,0.03931,8.95577,0.15876,33.12239,0.44216,66.12659,1.81492,0.92007,9.38603,24.66835,347.73732,2.31102,2.80561,0.19502,13.93465,2.43174,104.67111,0.31121,3.8358,8.56491,40.68467,127.86477,0.08795,0.02172,0.02486,42.4323
2044-02-18,6.80138,0.19696,0.61362,0.03095,5.903,0.06885,0.0497,2.52597,1.16323,0.02827,0.03827,7.31465,0.01752,9.7175,0.23963,4.39274,0.38641,0.38559,3.77928,0.56592,27.76014,0.50745,0.90962,0.134,5.16752,0.85628,1.2086,0.00107,0.81506,0.96269,11.3249,47.46963,0.02017,0.00247,0.00352,12.73261
2044-02-19,6.92744,0.23641,0.57308,0,6.2374,0.03663,0.05273,2.83153,1.15914,0.02807,0.03905,7.43537,0.01635,10.35823,0.24795,4.49347,0.45333,0.35853,3.51663,0.56692,27.35919,0.58187,1.05107,0.12065,4.76633,0.88627,1.1624,0.00106,0.99009,0.96257,10.55464,45.63495,0.01985,0.00245,0.00377,14.07707
2044-02-20,11.73303,0.25689,0.56228,0,6.35784,0.03684,0.10928,3.53082,1.32831,0.03002,0.03978,12.31549,0.01681,11.25551,0.25512,3.88465,0.49043,0.36335,3.53795,0.56783,28.25077,0.62495,1.06466,0.11832,4.82082,0.90437,1.22569,0.00106,1.15029,0.96261,10.51154,49.60935,0.02008,0.00245,0.00442,14.8369
2044-02-21,11.85628,0.80328,2.67242,10.83758,19.62537,7.04747,1.70552,16.23156,5.46044,0.03029,0.05713,18.6324,0.25778,35.21937,0.34841,58.11715,1.2959,1.39498,6.35472,53.4423,383.49897,1.63368,2.57392,0.15828,9.17988,1.8931,92.59409,0.02166,3.17985,10.88293,62.06558,88.64822,0.0934,0.03668,0.04087,45.72464
2044-02-22,6.65752,0.56452,0.59295,5.99153,10.52617,0.87552,0.78172,4.15927,1.647,0.02767,0.10780000000000001,7.63729,0.01815,13.44387,0.39606,65.8635,1.09885,0.34866,7.23486,26.46703,227.20036,1.3969800000000001,1.41466,0.3172,10.25085,1.82435,45.84432,0.0691,3.43548,43.61316,24.46437,116.78452,0.07685,0.032,0.01542,22.556
2044-02-23,6.38291,0.40816,0.61278,0.00333,9.52601,0.04302,0.08263,3.96047,1.14874,0.02772,0.04175,6.87493,0.01621,13.42661,0.28594,8.57288,0.74257,0.34943,3.6697,0.58759,37.37144,0.916,1.42744,0.11401,5.09317,1.01135,3.57499,0.00106,2.27531,0.96314,10.29757,69.78787,0.02294,0.00245,0.00538,22.69637
2044-02-24,6.40129,0.45175,0.63321,7.3e-4,9.31351,0.03737,0.0919,3.79632,1.14934,0.02773,0.04219,6.88959,0.01626,13.51139,0.30638,7.49264,0.83608,0.34839,3.76192,0.59656,40.57892,1.0258,1.44435,0.11325,5.24461,1.07672,4.11348,0.0011,2.56607,0.96449,10.2471,73.8504,0.0247,0.0025,0.00593,22.28847
2044-02-25,6.98452,0.46679,0.64428,0,9.42738,0.05048,0.09724,4.55388,1.4786300000000001,0.02772,0.04272,7.49238,0.01845,13.54016,0.31499,6.19104,0.87599,0.37301,3.8253,0.60224,42.0189,1.07532,1.39908,0.11212,5.35289,1.11265,4.26463,0.00404,2.50136,1.21549,10.27821,74.3197,0.02604,0.01032,0.00698,21.49279
2044-02-26,9.54539,2.50731,4.92627,21.3401,26.91924,13.46881,1.70425,14.28723,4.51259,0.03216,0.57262,12.46137,0.3403,48.75549,0.78981,74.50076,3.66175,4.84276,22.46892,38.00101,442.87018,4.75631,3.30579,0.74711,30.96351,11.81752,123.11472,0.28247,4.55368,27.30227,411.71209,170.38166,0.10524,0.0609,0.09237,73.2127
2044-02-27,8.51129,1.25704,2.04374,0.67804,12.78424,1.62498,0.1253,4.69585,1.18374,0.02806,0.65448,9.00279,0.07573,19.83147,0.64962,8.71503,1.94368,1.21645,7.80118,3.29766,108.54099,2.37496,1.80955,0.51163,10.37973,7.2529,10.91853,0.00108,3.92277,2.581,389.24392,146.16078,0.04882,0.00246,0.00957,49.85172
2044-02-28,6.91328,1.40196,1.35441,0.1916,12.61716,0.36809,0.13984,4.51288,1.17036,0.02818,0.0654,7.39416,0.03216,18.97835,0.69322,6.74663,2.2493,0.69799,6.07724,0.62727,77.11344,2.76991,1.98095,0.15226,8.41784,5.93607,7.11035,0.00107,3.11933,0.96576,36.74927,117.2603,0.03369,0.00245,0.01221,42.24846
2044-02-29,6.71444,1.3455,1.52869,0.17169,12.07662,0.36529,0.14705,4.08994,1.17763,0.02838,0.06709,7.19225,0.03273,19.0089,0.79203,5.89022,2.24096,0.78229,6.81901,0.63352,80.34755,2.78327,1.94435,0.17888,9.36498,6.08988,7.07074,0.00107,3.1302,0.96634,38.30966,121.40329,0.0358,0.00246,0.01358,36.6745
2044-03-01,6.68964,1.22879,1.35706,7e-5,11.35451,0.05387,0.15045,3.58181,1.1815,0.02845,0.05315,7.16016,0.02038,17.51801,0.77632,4.9801,2.11059,0.62069,7.02086,0.63762,77.06153,2.63647,1.81174,0.19493,9.53521,5.67695,6.12787,0.00106,2.86953,0.96676,23.7548,114.00768,0.03587,0.00245,0.01412,31.38676
2044-03-02,6.92801,1.12353,1.32217,0,10.63363,0.05464,0.15152,3.14242,1.18337,0.02843,0.05593,7.39485,0.02043,16.26452,0.72263,4.11941,1.97299,0.62063,7.22095,0.64043,74.91201,2.48132,1.65933,0.20612,9.7972,5.22381,5.83684,0.00106,2.55108,0.96711,23.28289,104.20128,0.03694,0.00245,0.01414,27.39411
2044-03-03,6.89491,1.01988,1.24743,0,9.8788,0.0552,0.15068,2.82255,1.18334,0.02832,0.05846,7.35831,0.02021,14.93824,0.65526,3.28834,1.82191,0.60275,7.26186,0.64228,71.87717,2.30536,1.50305,0.21222,9.85703,4.74722,5.4738,0.00106,2.24831,0.96742,22.29658,94.18525,0.03761,0.00245,0.01381,23.92296
2044-03-04,7.15139,0.95462,1.16104,0.18731,9.27581,0.12995,0.17775,2.62163,1.20907,0.02815,0.08076,7.62321,0.02038,13.68074,0.64266,47.9334,1.76488,0.57634,8.36806,0.64569,85.89427,2.24976,1.35289,0.27281,11.36075,4.34155,6.70438,0.01694,2.58648,5.90129,26.7285,104.83895,0.04677,0.00748,0.01331,21.317990000000002
2044-03-05,7.04906,0.84436,1.07386,0,8.74212,0.0564,0.14644,2.45176,1.17988,0.02792,0.06273,7.50623,0.01942,12.5269,0.53008,3.21302,1.54687,0.54844,7.06434,0.64411,65.36909,1.97757,1.2203,0.21478,9.61789,3.90483,4.7662,0.00106,1.7988,0.96792,20.40308,78.08511,0.03808,0.00246,0.01267,18.91389
2044-03-06,9.24213,0.76842,0.98961,0,8.21831,0.05614,0.14389,2.29801,1.17692,0.02765,0.06469,9.69602,0.01894,11.44201,0.48132,3.21673,1.42039,0.51931,6.89848,0.64438,62.09691,1.8239,1.09939,0.21295,9.40998,3.53751,4.41816,0.00106,1.65166,0.96828,19.40884,72.07258,0.03804,0.00246,0.01201,16.77141
2044-03-07,6.69939,0.70016,0.91108,0,7.78117,0.05568,0.14064,2.19015,1.17344,0.02733,0.06602,7.14996,0.01845,10.47022,0.43653,2.79801,1.30252,0.49029,6.70084,0.64434,58.90643,1.6791,0.98973,0.20956,9.1603,3.20945,4.08255,0.00106,1.51264,0.96844,18.3141,66.39371,0.03784,0.00246,0.01134,14.96078
2044-03-08,7.1020200000000004,0.63994,0.83978,0,7.39815,0.05514,0.13686,2.10687,1.16952,0.02699,0.06729,7.54948,0.01796,9.62655,0.39575,2.33729,1.19572,0.46321,6.48211,0.64403,55.8765,1.54707,0.89397,0.20513,8.88243,2.92092,3.7706,0.00106,1.384,0.96853,17.36941,61.16592,0.03752,0.00246,0.01068,13.47175
2044-03-09,8.35248,0.58548,0.77313,0,7.04347,0.05455,0.13269,2.03525,1.16533,0.02663,0.06832,8.79666,0.01747,8.86201,0.35906,1.91591,1.09716,0.43799,6.25122,0.64352,52.98817,1.42452,0.808,0.19988,8.58768,2.6612,3.47881,0.00106,1.26751,0.96863,16.44752,56.41863,0.03709,0.00246,0.01004,12.14056
2044-03-10,9.98038,0.53647,0.71133,0,6.71477,0.05393,0.12827,1.97747,1.16093,0.02624,0.06914,10.4214,0.017,8.17437,0.32615,1.5427,1.00673,0.41442,6.01418,0.64282,50.25808,1.3114,0.72983,0.19404,8.2838,2.42811,3.20738,0.00106,1.16319,0.96867,15.57316,52.11226,0.03658,0.00246,0.00942,10.99024
2044-03-11,8.3855,0.49269,0.6565,0,6.41217,0.0533,0.12372,1.93127,1.15643,0.02585,0.0698,8.82379,0.01653,7.56331,0.29678,1.23421,0.92462,0.39298,5.77621,0.64198,47.70612,1.20797,0.66016,0.18792,7.97754,2.22129,2.95737,0.00106,1.07059,0.96867,14.80282,48.24296,0.03601,0.00246,0.00884,10.01423
2044-03-12,7.35209,0.45369,0.60776,0,6.13322,0.05265,0.11913,1.89042,1.15186,0.02546,0.07036,7.78735,0.01608,7.01184,0.27072,0.98659,0.85085,0.37378,5.54123,0.64101,45.33772,1.1148,0.59809,0.18167,7.67392,2.03827,2.73048,0.00106,0.98863,0.96862,14.13895,44.79378,0.03539,0.00247,0.0083,9.17642
2044-03-13,8.13428,0.41921,0.56412,0,5.87606,0.05201,0.11457,1.85258,1.14725,0.02506,0.0708,8.56639,0.01564,6.51904,0.24765,0.79367,0.78537,0.35666,5.31195,0.63993,43.15614,1.03201,0.54361,0.17543,7.37654,1.87743,2.52672,0.00106,0.91637,0.96854,13.54711,41.74171,0.03473,0.00247,0.0078,8.46827
2044-03-14,9.69589,0.38802,0.5247,0,5.63813,0.05137,0.11003,1.81599,1.1426,0.02466,0.09485,10.12489,0.01522,6.07448,0.22719,0.63838,0.72568,0.34118,5.09012,0.63876,41.11518,0.95618,0.49525,0.16942,7.08766,1.73318,2.33659,0.00106,0.85234,0.96843,13.11569,38.98654,0.03405,0.00247,0.00734,7.8492
