date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1990-01-01,4.17398,0.06054,0.04074,0.01695,0.57152,0.0783,0.58174,0.52228,2.06973,0.00364,0.00244,13.06949,0.00738,0.54265,0.35707,39.36904,0.1344,0.04964,2.26202,21.10968,86.81165,0.23105,0.00661,0.09965,3.23114,0.21951,2.50415,0.04496,1.14097,4.15164,1.9762,42.63306,0.03652,0.04381,0.00292,0.76691
1990-01-02,4.2979,0.06001,0.03919,1.48292,0.4636,0.06867,0.46115,0.55158,0.66326,0.00366,0.00223,6.61265,0.00616,0.64183,0.34684,10.79256,0.17704,0.04481,2.32919,9.68948,81.52798,0.27813,0.01066,0.10034,3.47374,0.21737,11.43775,0.00329,1.28224,4.48305,1.90073,42.0195,0.05273,0.01274,0.0074400000000000004,0.88809
1990-01-03,4.1232,0.05912,0.0366,0,0.14325,0.00932,0.01228,0.47179,0.48885,0.00367,0.00223,5.58517,0.00497,0.42428,0.31208,0.73968,0.13299,0.04477,2.20895,0.54888,17.22672,0.22444,0.00578,0.09541,3.06132,0.21727,0.92738,0.0011,0.30179,0.83155,1.87664,18.19529,0.02125,0.00409,1e-4,0.63018
1990-01-04,4.26784,0.05831,0.03647,0,0.14402,0.00929,0.01251,0.49576,0.48927,0.0037,0.00223,5.76048,0.0049,0.42649,0.29318,0.67332,0.13292,0.04488,2.19145,0.55426,17.45553,0.22304,0.00572,0.09303,3.04703,0.21712,0.93947,0.00106,0.31314,0.83198,1.87055,18.88025,0.02171,0.00416,1e-4,0.62589
1990-01-05,4.10285,0.05745,0.03626,0,0.14444,0.00927,0.01231,0.4698,0.48931,0.00368,0.00223,5.63782,0.00484,0.42211,0.27615,0.61319,0.13272,0.04488,2.16947,0.55835,17.40993,0.22141,0.00567,0.09059,3.02642,0.21683,0.94526,0.00106,0.32803,0.83232,1.84576,18.95576,0.02208,0.00421,1.1e-4,0.61547
1990-01-06,4.05263,0.05656,0.03601,0,0.14469,0.00923,0.01204,0.46884,0.49029,0.00368,0.00223,5.5466,0.00478,0.41995,0.26058,0.55226,0.13235,0.04481,2.14387,0.56139,17.1684,0.21951,0.00559,0.08814,3.00047,0.21641,0.94398,0.00106,0.33566,0.83262,1.82729,18.25434,0.02236,0.00425,1.1e-4,0.60786
1990-01-07,4.15365,0.05566,0.03573,0,0.14478,0.01137,0.01174,0.46753,0.48884,0.00368,0.0023,5.98674,0.00472,0.4185,0.24615,0.5906,0.13182,0.0447,2.11536,0.56366,16.9168,0.21739,0.00553,0.08573,2.96998,0.21664,0.93609,0.01092,0.33902,0.8335,1.82283,17.80229,0.02256,0.00428,1.1e-4,0.60144
1990-01-08,4.44337,0.30569,0.03583,3.04679,3.43743,0.04344,1.33877,3.41961,2.47668,0.00368,0.01837,7.93018,0.00509,1.70388,0.3841,220.80091,0.64201,0.04455,5.56666,22.32057,296.17301,0.90991,0.179,0.30628,8.0303,0.55456,28.29956,0.92471,4.52407,57.5609,2.42578,166.14434,0.08937,0.0292,0.02962,3.63039
1990-01-09,4.14295,0.05501,0.03511,0.03105,0.20875,0.0154,0.02311,0.471,0.49979,0.00369,0.01507,5.67425,0.0046,0.42404,0.23099,3.7671,0.13747,0.04436,2.15059,0.61239,20.9528,0.22169,0.00548,0.08588,3.00973,0.27519,1.23177,0.00108,0.55652,0.84429,2.02195,24.55356,0.0236,0.00432,1.3e-4,0.62786
1990-01-10,4.14131,0.05307,0.03479,0,0.15384,0.00909,0.01661,0.46904,0.49367,0.00369,0.00339,5.65335,0.00454,0.41407,0.23119,2.8619,0.13353,0.04418,2.06116,0.57684,18.57408,0.21560000000000001,0.00547,0.07983,2.9219,0.21665,1.04212,0.00106,0.74392,0.83716,1.79764,27.27487,0.02415,0.00435,1.6e-4,0.59737
1990-01-11,4.11555,0.05227,0.03447,0,0.15661,0.00912,0.01653,0.48424,0.49126,0.00368,0.02064,5.59149,0.00448,0.41658,0.23113,2.24612,0.13498,0.04404,2.0547,0.58085,18.4687,0.21627,0.00547,0.07893,2.92544,0.21824,1.07868,0.00107,0.83375,0.83882,1.841,28.03622,0.02478,0.00435,1.7e-4,0.59896
1990-01-12,3.99594,0.05149,0.03415,0,0.15864,0.00902,0.01628,0.46252,0.48964,0.00368,0.00572,5.43077,0.00442,0.41097,0.2256,1.80838,0.1361,0.04377,2.03789,0.58378,18.25191,0.21649,0.00525,0.07688,2.90615,0.21511,1.09577,0.00106,0.86531,0.8401,1.74217,27.71201,0.02526,0.00434,1.8e-4,0.59044
1990-01-13,3.98838,0.05072,0.03383,0,0.16014,0.00899,0.01595,0.46144,0.48954,0.00368,0.00228,5.37394,0.00437,0.40949,0.21981,1.48795,0.13684,0.04355,2.02112,0.58592,17.99503,0.21622,0.0052,0.07508,2.89024,0.21487,1.09857,0.00106,0.86487,0.84117,1.7171400000000001,26.94796,0.0256,0.00433,1.8e-4,0.58547
1990-01-14,4.0227,0.04997,0.03352,0,0.16126,0.00895,0.0156,0.46032,0.48918,0.00368,0.00223,5.38006,0.00432,0.408,0.21288,1.24512,0.13727,0.04335,2.00145,0.58749,17.72705,0.21556,0.00515,0.07349,2.86972,0.21453,1.09198,0.00106,0.84659,0.84203,1.70237,26.00415,0.02583,0.00431,1.8e-4,0.58041
1990-01-15,4.12905,0.04924,0.03321,0,0.16202,0.00891,0.01524,0.45917,0.48864,0.00367,0.00223,5.44876,0.00426,0.40652,0.20523,1.05528,0.13733,0.04313,1.97928,0.58862,17.43241,0.21446,0.0051,0.07193,2.84515,0.21404,1.07764,0.00106,0.81961,0.8427,1.68714,24.99643,0.02595,0.00429,1.8e-4,0.57569
1990-01-16,3.97368,0.04853,0.0329,0,0.16245,0.00887,0.014880000000000001,0.45797,0.48793,0.00366,0.00223,5.23695,0.00421,0.40507,0.19716,0.90188,0.13714,0.04292,1.95492,0.5894,17.12663,0.21306,0.00505,0.0704,2.81701,0.21346,1.05784,0.00108,0.78842,0.84326,1.67228,23.98227,0.026,0.00427,1.8e-4,0.5716
1990-01-17,3.95212,0.04784,0.0326,0,0.16264,0.00883,0.01453,0.4568,0.48707,0.00366,0.00223,5.16679,0.00416,0.40363,0.18903,0.78189,0.13683,0.04269,1.929,0.58989,16.85242,0.21153,0.005,0.06891,2.78616,0.21291,1.03669,0.00106,0.75924,0.84372,1.65884,23.09,0.02597,0.00424,1.8e-4,0.56754
1990-01-18,3.94438,0.04718,0.03234,0,0.16261,0.00879,0.01419,0.45559,0.48612,0.00366,0.00223,5.11473,0.00411,0.40308,0.18109,0.68783,0.13638,0.04247,1.90202,0.59016,16.56238,0.20986,0.00495,0.06746,2.75333,0.21234,1.01512,0.00106,0.72306,0.84409,1.64615,22.07103,0.02589,0.0042,1.8e-4,0.56429
1990-01-19,3.89934,0.04655,0.03203,0,0.16241,0.01343,0.01387,0.45437,0.48505,0.00366,0.00223,5.07871,0.00408,0.40758,0.17341,0.61435,0.13575,0.04225,1.87422,0.59024,16.28644,0.208,0.00516,0.06606,2.71887,0.21175,0.99128,0.01105,0.69168,0.86163,1.63423,21.243,0.02576,0.00416,1.7e-4,0.56702
1990-01-20,4.0046,0.04592,0.03173,0,0.16205,0.00871,0.01355,0.45327,0.48391,0.00365,0.00223,5.41129,0.00401,0.39934,0.16604,2.01197,0.13506,0.04203,1.84581,0.59017,16.00995,0.20608,0.00486,0.06471,2.6831,0.21109,0.96772,0.02274,0.66114,2.59317,1.62266,20.5104,0.02559,0.00412,1.7e-4,0.5555
1990-01-21,3.93222,0.04532,0.03146,0,0.1616,0.00867,0.01326,0.45207,0.48664,0.00364,0.00223,10.84776,0.00396,0.39798,0.15908,22.90957,0.13436,0.04182,1.81717,0.58997,17.12447,0.2042,0.00481,0.06341,2.64658,0.21051,0.94659,0.4338,0.63259,20.02033,1.6107,22.76673,0.02539,0.00416,1.7e-4,0.55197
1990-01-22,4.20478,0.04475,0.03119,0,0.16107,0.00863,0.01299,0.45128,0.49258,0.00364,0.00223,5.57407,0.00392,0.40152,0.15255,17.23784,0.13359,0.04161,1.7885,0.58965,18.6139,0.20225,0.00477,0.06216,2.60959,0.20991,0.92544,0.11329,0.64728,3.3976,1.60453,28.90077,0.02517,0.00438,1.7e-4,0.55345
1990-01-23,4.67954,0.04419,0.03096,0,0.1605,0.00859,0.01272,0.45227,0.48028,0.00363,0.00227,5.80547,0.00388,0.41581,0.14638,0.84497,0.13266,0.04349,1.75979,0.58924,15.24312,0.20015,0.00478,0.06096,2.57219,0.20925,0.90234,0.00106,0.58114,0.84534,1.84432,21.18193,0.02492,0.00399,1.7e-4,0.56568
1990-01-24,4.78019,0.044,0.23436,0.00109,0.18487,0.45537,0.01247,0.6528,0.49228,0.00365,0.00223,5.87571,0.04501,1.95753,0.14053,0.79235,0.13292,0.31269,1.73115,0.58874,15.44494,0.19931,0.00591,0.05981,2.53452,0.20864,0.894,0.00106,0.55778,0.84683,3.7021,18.3662,0.02465,0.00398,1.6e-4,2.11589
1990-01-25,4.22095,0.17353,0.04629,0.88129,1.6456,0.36706,0.06127,3.47394,0.588,0.00363,0.03938,5.28014,0.00766,1.22258,0.26224,4.07909,0.38527,0.0422,4.53369,0.63914,52.14825,0.53874,0.10494,0.16502,6.29104,0.50783,10.24722,0.00311,1.03402,0.84777,7.23001,35.68233,0.05192,0.00413,3e-4,2.65782
1990-01-26,3.84156,0.04263,0.03018,4.8e-4,0.15812,0.00847,0.012,0.44652,0.47637,0.00361,0.00223,4.87631,0.00375,0.39132,0.13263,0.76947,0.13,0.04078,1.69122,0.58756,14.64509,0.19417,0.0046,0.05765,2.47951,0.22791,0.84866,0.00106,0.52052,0.84588,1.65252,16.86446,0.02415,0.00385,1.6e-4,0.53575
1990-01-27,4.08388,0.04215,0.02995,0,0.15728,0.00843,0.01301,0.44601,0.47503,0.00361,0.00223,5.10097,0.00371,0.39435,0.1322,3.55292,0.12944,0.10264,1.663,0.58697,15.04013,0.19265,0.00456,0.05664,2.4427,0.20716,0.82449,0.01118,0.50957,0.84855,1.66301,16.61382,0.02396,0.0038,1.6e-4,0.53754
1990-01-28,3.82944,0.04306,0.02984,0.25614,0.15772,0.00908,0.03511,0.44459,0.47391,0.00361,0.00743,4.86176,0.00367,0.3896,0.17234,5.97989,0.14526,0.04042,2.30001,0.63316,27.81622,0.21697,0.00452,0.08096,3.35147,0.22159,2.39484,0.00107,1.03522,0.84644,1.60444,42.33445,0.02903,0.00377,1.6e-4,0.53396
1990-01-29,4.02787,0.04125,0.02949,0.00828,0.1555,0.00835,0.01375,0.44386,0.47233,0.00361,0.00398,5.03659,0.00362,0.38761,0.13134,1.44652,0.12837,0.0402,1.65297,0.59045,15.48565,0.18978,0.00448,0.0612,2.42461,0.20673,0.87819,0.00108,0.50656,0.85053,1.56477,16.75477,0.02375,0.00371,1.6e-4,0.52902
1990-01-30,4.24163,0.04082,0.02927,0,0.15456,0.00831,0.01118,0.4429,0.47097,0.0036,0.00223,5.21722,0.00358,0.38953,0.13096,0.65954,0.1278,0.04006,1.62009,0.58503,14.00673,0.1883,0.00444,0.05388,2.38129,0.20614,0.78279,0.00106,0.49693,0.84614,1.52116,16.33754,0.02338,0.00367,1.6e-4,0.53047
1990-01-31,4.53973,0.04041,0.02906,0,0.1536,0.00826,0.01101,0.45076,0.47015,0.0036,0.00472,5.486,0.00355,0.41671,0.13045,0.62197,0.12724,0.0406,1.6118,0.58435,13.87469,0.18689,0.0044,0.05302,2.367,0.2058,0.76952,0.00106,0.49547,0.84615,1.53646,16.26241,0.02318,0.00362,1.5e-4,0.55696
1990-02-01,4.28701,0.04004,0.03338,0,0.16509,0.014880000000000001,0.01083,0.50717,0.53307,0.00359,0.00581,5.23961,0.00382,0.4222,0.12941,0.57982,0.12658,0.04214,1.58613,0.58362,13.72132,0.18538,0.00613,0.05221,2.33513,0.20562,0.75542,0.00106,0.49154,0.84641,2.04256,16.11164,0.02297,0.00398,1.5e-4,0.56426
1990-02-02,4.22667,0.03962,0.12279,0,0.15504,0.05918,0.01066,0.47737,0.47092,0.00398,0.00975,7.58038,0.00749,0.63037,0.12783,0.53469,0.12579,0.08856,1.57045,0.58285,13.61413,0.18374,0.005,0.05143,2.31296,0.20558,0.73941,0.0031,0.48523,0.89451,5.37326,15.90147,0.02274,0.00381,1.5e-4,0.76917
1990-02-03,6.4371,0.03925,0.03973,0,0.1506,0.01376,0.01049,0.45599,1.46713,0.00361,0.003,14.86137,0.00376,0.43968,0.12574,0.48848,0.12489,0.04649,1.55404,0.58204,13.38216,0.182,0.00432,0.05068,2.28972,0.20457,0.72333,0.01744,0.47706,0.94687,3.60475,15.64969,0.0225,0.02902,0.00159,0.57703
1990-02-04,4.93056,0.03889,0.02827,0,0.14946,0.0081,0.01054,0.45013,0.55933,0.00358,0.00223,6.48663,0.0034,0.38064,0.12326,1.15905,0.12391,0.03914,1.53694,0.58118,13.35568,0.18018,0.00426,0.04996,2.26549,0.20393,0.70729,0.00402,0.46762,1.61315,1.69404,16.08147,0.02225,0.02221,1.5e-4,0.51694
1990-02-05,4.23512,0.03901,0.05232,5.3e-4,0.14865,0.23212,0.01017,0.44459,0.46412,0.00358,0.0154,5.19328,0.00734,0.46048,0.12752,0.4158,0.12406,0.04341,1.74535,0.58029,14.36108,0.18168,0.00453,0.06322,2.62871,0.23029,0.69012,0.00106,0.463,0.84586,3.39604,16.12901,0.022,0.00341,1.4e-4,0.59613
1990-02-06,3.735,0.03822,0.02789,3e-5,0.14707,0.00802,0.01314,0.43561,0.46165,0.00357,0.00284,4.73735,0.00333,0.37839,0.1174,16.25111,0.12175,0.03879,1.50085,0.57976,25.26557,0.17639,0.00419,0.04863,2.21445,0.20528,0.67198,0.08168,0.74174,5.01836,1.47317,32.73574,0.02172,0.00336,1.4e-4,0.51256
1990-02-07,3.75429,0.03789,0.0277,0,0.14579,0.00798,0.00985,0.43453,0.4604,0.00357,0.00223,4.64746,0.0033,0.37725,0.11432,0.38625,0.12064,0.03862,1.48214,0.57838,12.69612,0.17446,0.00415,0.04796,2.18773,0.20209,0.65599,0.00106,0.43643,0.84563,1.45313,14.63833,0.02145,0.00332,1.4e-4,0.51032
1990-02-08,3.8898,0.03758,0.02752,0,0.14448,0.00794,0.0097,0.43341,0.45913,0.00356,0.00223,4.74824,0.00327,0.37619,0.11118,0.39683,0.11949,0.03845,1.46328,0.57738,12.52653,0.17252,0.00412,0.04735,2.16095,0.20143,0.64001,0.00106,0.42815,0.84551,1.44576,14.33493,0.02117,0.00329,1.4e-4,0.50821
1990-02-09,3.93059,0.03727,0.02734,0,0.14311,0.0079,0.00954,0.4323,0.45785,0.00355,0.00223,4.75146,0.00324,0.37507,0.10799,0.39024,0.11828,0.03827,1.44413,0.57635,12.34878,0.17054,0.00408,0.04675,2.13373,0.20073,0.62322,0.00109,0.41967,0.84538,1.4386,14.11125,0.02088,0.00325,1.3e-4,0.50604
1990-02-10,4.15293,0.03698,0.02716,0,0.14172,0.00785,0.00939,0.43120000000000003,0.45657,0.00355,0.00223,4.96174,0.0032,0.37396,0.10476,0.36382,0.11701,0.03809,1.42466,0.5753,12.16988,0.1685,0.00405,0.04618,2.10603,0.19998,0.60603,0.00111,0.41072,0.84594,1.43149,13.87354,0.0206,0.00322,1.3e-4,0.50388
1990-02-11,4.03849,0.03778,0.05894,3.8e-4,0.22333,0.16796,0.01084,0.46516,0.54982,0.00354,0.00223,4.82527,0.00661,0.58971,0.10151,0.67548,0.1163,0.03821,1.40552,0.57462,15.24162,0.16748,0.01164,0.04651,2.07943,0.21791,0.59366,0.00257,0.40158,1.42693,5.53369,16.27494,0.02032,0.00491,1.9e-4,0.81167
1990-02-12,7.07465,0.12786,0.97071,0.67859,1.7187,2.16205,0.01951,6.98654,1.20851,0.00407,0.01973,8.67711,0.10262,7.06587,0.11684,5.13804,0.31556,1.65391,2.17803,0.57973,25.15388,0.4206,0.14132,0.07939,3.1929,0.42377,4.42964,0.01181,0.39331,3.81665,27.52166,19.85303,0.02263,0.00856,0.00628,7.54931
1990-02-13,4.06048,0.5393,1.78358,3.3007,2.41298,7.78426,0.39101,4.04184,0.92156,0.00352,0.24301,4.836,0.14853,9.93626,0.65141,30.93144,1.03601,0.64375,14.29119,5.80476,165.7551,1.47061,0.40313,0.44195,19.12623,5.01916,23.24081,0.14667,0.68266,15.17431,168.69866,33.91006,0.07069,0.00698,0.01224,12.26757
1990-02-14,4.03572,0.04009,0.02694,0.00623,0.15656,0.01519,0.00887,0.61519,0.45202,0.00356,0.02689,4.79518,0.00331,0.5476,0.18122,1.68325,0.12018,0.05313,1.57076,0.60223,13.91743,0.17209,0.00611,0.2298,2.29193,0.20883,0.87645,0.0259,0.89211,1.42299,1.56096,32.98998,0.02167,0.0037200000000000002,1.3e-4,0.69217
1990-02-15,3.78565,0.03664,0.02654,0,0.13485,0.00767,0.0087,0.43311,0.45047,0.00351,0.00223,4.55973,0.00312,0.37685,0.17451,0.42905,0.12054,0.03742,1.50608,0.57093,12.36524,0.17205,0.00397,0.04465,2.1957,0.21677,0.55149,0.0384,0.374,2.37868,1.52256,14.59561,0.01948,0.00304,1.4e-4,0.50588
1990-02-16,3.6554,0.03696,0.02652,0,0.13556000000000001,0.00763,0.01619,0.43593,0.45086,0.0035,0.00223,4.49938,0.00312,0.37132,0.21287,10.38024,0.12406,0.03735,1.5777,0.57086,15.62424,0.17665,0.00396,0.04501,2.28495,0.22355,0.54578,0.12424,0.37917,8.89415,1.53774,17.05906,0.01939,0.00312,1.5e-4,0.50075
1990-02-17,3.61789,0.03732,0.02649,0.00177,0.13244,0.0076,0.00864,0.43279,0.44803,0.0035,0.00264,4.34023,0.0031,0.37088,0.23776,3.05696,0.12672,0.03728,1.64988,0.57059,14.62199,0.18005,0.00394,0.04643,2.37855,0.22967,0.57624,0.00435,0.49854,1.09096,1.54771,22.84571,0.01951,0.00299,1.5e-4,0.49979
1990-02-18,3.65324,0.03741,0.02644,0,0.1312,0.00756,0.00841,0.43215,0.44686,0.00349,0.00223,4.37933,0.00308,0.37024,0.24833,0.50871,0.12855,0.03722,1.6854,0.56939,13.08613,0.18229,0.00391,0.04549,2.41921,0.23134,0.53167,0.00111,0.37364000000000003,0.84464,1.55019,16.20163,0.01918,0.00296,1.5e-4,0.49849
1990-02-19,3.73341,0.03755,0.02637,3e-5,0.12997,0.00753,0.00833,0.43134,0.44571,0.00348,0.00223,5.20201,0.00306,0.36948,0.25108,20.86031,0.12972,0.03715,1.72255,0.56877,21.33274,0.18369,0.00389,0.04572,2.46547,0.23353,0.52457,0.07354,0.46925,6.16532,1.54971,39.86846,0.01905,0.00456,1.5e-4,0.49693
1990-02-20,3.70868,0.03764,0.02631,0,0.1287,0.00749,0.00821,0.4304,0.44453,0.00348,0.0027,4.40748,0.00304,0.3686,0.24831,0.73754,0.1304,0.03709,1.75585,0.56807,13.23832,0.18443,0.00386,0.04585,2.50623,0.23504,0.51713,0.00106,0.37011,0.8446,1.55764,16.33062,0.01891,0.00291,1.5e-4,0.49519
1990-02-21,3.81159,0.03769,0.02623,0,0.12745,0.00746,0.0081,0.42933,0.44334,0.00347,0.00223,4.48792,0.00301,0.36771,0.24188,0.83044,0.13046,0.03701,1.76989,0.56733,13.21856,0.18437,0.00383,0.04571,2.52411,0.23584,0.5074,0.00106,0.36732,0.84463,1.54363,16.31084,0.01875,0.00288,1.5e-4,0.49339
1990-02-22,3.80957,0.0377,0.02613,3.3e-4,0.12616,0.00742,0.008,0.42818,0.44214,0.00347,0.00223,4.46923,0.00298,0.36676,0.23303,0.79548,0.1301,0.03693,1.78164,0.56653,13.1717,0.18378,0.0038,0.04567,2.53833,0.23605,0.49752,0.00108,0.3635,0.8452,1.53871,16.18498,0.01858,0.00292,1.5e-4,0.4915
1990-02-23,3.8255,0.03769,0.02604,3e-5,0.3253,0.00739,0.17776,1.6196,1.26186,0.00346,0.00223,5.11612,0.00296,0.36592,0.22411,22.26344,0.12946,0.03685,1.82872,0.60152,30.08132,0.18278,0.00379,0.04565,2.58706,0.23592,0.50768,0.24931,0.66435,10.82271,1.53293,29.3872,0.0185,0.03798,0.00295,0.4898
1990-02-24,3.82188,0.03957,0.02602,0.02903,0.13025,0.00815,0.4947,0.42715,0.44241,0.00345,0.02707,4.47156,0.00294,0.36548,0.28376,101.36333,0.13435,0.03677,3.38764,5.97968,119.01105,0.19054,0.00387,0.06122,4.47416,0.2579,1.55399,0.02572,2.16948,12.22572,1.59711,102.86028,0.03099,0.00387,1.8e-4,0.49757
1990-02-25,4.2056,0.03757,0.02585,1.3e-4,0.12232,0.00731,0.0079,0.42491,0.43864,0.00344,0.00223,4.83925,0.00291,0.36384,0.20455,6.69915,0.12833,0.03668,1.7855,0.56453,13.0715,0.18097,0.00371,0.04544,2.54045,0.23552,0.47627,0.00111,0.39445,0.84476,1.52131,19.17412,0.01803,0.00279,1.4e-4,0.48589
1990-02-26,5.11307,0.03749,0.02601,0,0.12101,0.00727,0.00792,0.42387,0.43747,0.00344,0.00223,5.73307,0.00291,0.38872,0.1981,6.17361,0.1274,0.03675,1.7838,0.56428,13.01979,0.17959,0.00369,0.04519,2.53628,0.23492,0.46843,0.00109,0.44096,0.84522,1.63534,19.86344,0.01785,0.00277,1.4e-4,0.50988
1990-02-27,3.62608,0.03957,0.02566,3e-4,0.1199,0.00724,0.00798,0.42268,0.43647,0.00343,0.00223,4.23221,0.00286,0.37184,0.19134,5.12123,0.12727,0.03649,1.78059,0.5641,13.02254,0.18133,0.00457,0.0452,2.53242,0.23422,0.46368,0.00113,0.47764,0.8451,1.51064,21.07172,0.0177,0.00284,1.3e-4,0.49224
1990-02-28,3.65818,0.03729,0.02555,1e-4,0.11844,0.00731,0.00792,0.42148,0.43514,0.00342,0.00223,4.25131,0.00283,0.36088,0.18404,4.17918,0.12519,0.03639,1.77216,0.56362,12.86494,0.17654,0.00364,0.04491,2.51866,0.23338,0.45317,0.00106,0.50226,0.84492,1.50511,20.2681,0.01749,0.00274,1.3e-4,0.48035
1990-03-01,3.7308,0.03713,0.02543,0,0.11716,0.00716,0.0079,0.42018,0.43398,0.0034,0.00223,4.31013,0.0028,0.35988,0.17656,3.39879,0.12388,0.0363,1.76078,0.56316,12.7385,0.17459,0.00361,0.04458,2.5012,0.23246,0.44522,0.00106,0.516,0.84497,1.4927,19.94485,0.0173,0.00272,1.3e-4,0.47848
1990-03-02,3.73496,0.03706,0.02537,1.8e-4,0.11595,0.00733,0.00786,0.4189,0.43283,0.0034,0.00223,4.30164,0.00279,0.35918,0.16894,2.74481,0.12275,0.03622,1.74773,0.56261,12.61577,0.17305,0.0036,0.04454,2.4834,0.23151,0.43856,0.00106,0.52027,0.84497,1.48924,19.55723,0.01711,0.0027,1.2e-4,0.47716
1990-03-03,3.75304,0.03684,0.02521,5e-5,0.11463,0.00709,0.00781,0.41765,0.43167,0.00339,0.00223,4.30815,0.00276,0.35789,0.16148,2.25905,0.12145,0.03608,1.73112,0.56199,12.4778,0.17113,0.00356,0.0441,2.45972,0.23059,0.43178,0.00106,0.51791,0.84494,1.47713,19.27548,0.01691,0.00269,1.2e-4,0.47481
1990-03-04,3.62991,0.03668,0.02581,6e-5,0.11567,0.00977,0.00775,0.4166,0.43077,0.00337,0.00223,4.17464,0.00295,0.35776,0.15422,1.8717,0.12007,0.03612,1.71313,0.5613,12.33141,0.16922,0.00356,0.04384,2.43505,0.22959,0.42465,0.00106,0.51048,0.84495,1.54732,18.48135,0.01671,0.00287,1.2e-4,0.47404
1990-03-05,3.53716,0.03652,0.02499,4e-5,0.11216,0.00702,0.00768,0.41511,0.42939,0.00336,0.00223,4.07293,0.00271,0.35592,0.14711,1.53212,0.11865,0.03585,1.69288,0.56054,12.17541,0.16721,0.00351,0.04358,2.40722,0.22837,0.41727,0.00106,0.49977,0.8448,1.46118,17.95682,0.0165,0.00267,1.2e-4,0.47122000000000003
1990-03-06,3.69516,0.03636,0.02487,0,0.11088,0.00698,0.00761,0.41384,0.42818,0.00335,0.00223,4.2216,0.00269,0.35494,0.14026,1.26403,0.1172,0.03573,1.67122,0.55973,12.01902,0.1652,0.00348,0.04331,2.3777,0.22723,0.40993,0.00106,0.48692,0.84468,1.45311,17.42794,0.01628,0.00265,1.1e-4,0.46941
1990-03-07,4.03918,0.03619,0.02476,0,0.10965,0.00694,0.00752,0.4126,0.42705,0.00334,0.00223,4.5560600000000004,0.00267,0.35396,0.13363,1.02298,0.11567,0.03561,1.64815,0.55887,11.85714,0.16309,0.00346,0.04303,2.34633,0.22597,0.40213,0.00106,0.47253,0.84455,1.44497,16.90571,0.01607,0.00264,1.1e-4,0.46762
1990-03-08,4.58889,0.03601,0.02464,0,0.10843,0.00691,0.00742,0.41139,0.42589,0.00332,0.00223,5.0969,0.00264,0.35396,0.12719,0.81825,0.11412,0.03548,1.62374,0.55795,11.69296,0.16095,0.00343,0.04275,2.31322,0.22464,0.3943,0.00106,0.4572,0.84438,1.43695,16.38896,0.01584,0.00264,1.1e-4,0.46685
1990-03-09,5.14896,0.03584,0.02453,0,0.10722,0.00687,0.00732,0.41016,0.42474,0.00331,0.00223,5.64872,0.00262,0.35224,0.12095,0.6502,0.11254,0.03535,1.5982,0.55699,11.52746,0.15879,0.00341,0.04247,2.2786,0.22328,0.38658,0.00106,0.44153,0.8442,1.47941,15.88321,0.01562,0.00263,1e-4,0.46435
1990-03-10,4.66754,0.03567,0.02442,0,0.10602,0.00684,0.00721,0.40899,0.42359,0.00331,0.00224,5.16016,0.0026,0.35108,0.11495,0.51627,0.11097,0.03522,1.57169,0.55598,11.36138,0.15663,0.00339,0.04217,2.24268,0.22189,0.37923,0.00106,0.42581,0.84399,1.4199,15.38911,0.01539,0.00262,1e-4,0.46241
1990-03-11,4.92667,0.03607,0.02433,0.00111,0.10523,0.00745,0.0071,0.40822,0.42288,0.00329,0.00224,5.4139099999999996,0.00258,0.3512,0.10932,0.42394,0.11033,0.03507,1.54867,0.55494,11.28675,0.15657,0.0034,0.0421,2.22193,0.22062,0.37541,0.0011,0.41057,0.84464,1.41293,17.27173,0.01517,0.00263,1e-4,0.4631
1990-03-12,4.71431,0.03547,0.02419,0.00179,0.10455,0.00692,0.00705,0.40723,0.42183,0.00328,0.00224,5.19606,0.00256,0.34968,0.10409,0.34415,0.10868,0.03495,1.5236,0.55395,11.11608,0.15384,0.00336,0.04242,2.18662,0.21949,0.37475,0.00106,0.39642,0.84352,1.40496,14.52493,0.01506,0.00262,9e-5,0.46222
1990-03-13,3.8347,0.03679,1.82091,8.3e-4,0.7614,3.53944,0.00694,3.7115,0.64605,0.0034,0.00284,4.4937,0.16774,6.11891,0.09907,0.27874,0.11004,0.66164,1.51482,0.55448,15.16218,0.15592,0.18418,0.04159,2.1612,0.27054,0.38065,0.00112,0.38286,0.84334,63.90076,14.08071,0.01473,0.00616,2.9e-4,6.25315
1990-03-14,3.57394,0.27331,1.3684,2.15201,0.94642,3.779,0.73761,0.82588,0.47512,0.00342,0.18353,4.0499,0.11211,4.5604,0.41471,21.67416,0.59642,2.46866,5.72864,5.13606,164.01108,0.77834,0.21227,0.76209,8.04345,2.54468,21.95351,0.01129,2.80511,4.35591,132.40783,68.45728,0.09593,0.00649,0.00236,5.96754
